XGL -> DVU,NVR,IIT,DF,CHH
QWF -> QAD,SXI,WNN,KHL,YNV
GRS -> ULQ,DLF,CZN,ZXV,FTG
BKD -> IZR,JYB,GON,HSX,JMR
KUL -> RLK,WRG,JRR,LVG,DKT
DN  -> THG,XJQ,PZG,BLT,VEB
BWX -> XHD,EGD,YBR,SZO,OCB
HKP -> SZL,AFX,ZCR,IQS,MXK
LYJ -> TAG,PIS,ODR,WYL,SIV
GHT -> UO,PXI,SKX,SON,JTQ
WZM -> FJO,FXR,YBA,NNG,ILJ
SVI -> SWY,TOY,NLK,ARJ,HKE
NPJ -> XVU,ZLP,TQD,FGL,PIR
SE  -> YDV,HPN,OIG,GIG,CYI
MCJ -> NJE,AWO,TXT,ULS,ZJL
WPF -> VWC,QBU,WDX,HIY,CEO
KGO -> CAU,MUF,QGA,MXP,RXB
FDS -> KLN,GCR,XZF,CGO,AMS
WSI -> XRY,IXW,GHW,NVW,GTV
SJX -> LK,LTR,AOH,TUM,VPM
OKH -> JDC,QPK,XNG,BEK,BSP
SXK -> PMC,NKP,VWL,QYI,WXP
TPM -> DLZ,FBK,FLD,JVH,NIK
KFW -> DIC,MPW,SZD,GQN,EQK
FQQ -> XYG,TD,JRQ,JJ,YIB
TKF -> YGV,WPC,WUO,NDZ,JPZ
XPA -> EAT,NQK,UM,VKI,LUL
ZKQ -> VRO,KGG,IUQ,QIQ,GGB
HBU -> AQY,KLQ,UUT,RTI,PTU
XXL -> DTU,JYW,MHN,EAE,RYQ
VQH -> UNR,KPZ,WDS,OVW,MXY
DWM -> YPG,ZIT,RGM,CIC,DXO
BUI -> YSA,GLT,NCH,NUJ,ZGG
JLE -> JFB,UFR,MEH,AYC,RYK
DRM -> KUW,EQ,VHW,RGS,WBX
EXA -> JUM,BOE,GWG,BTI,UM
NHF -> KPD,TTE,ICU,TZB,MQQ
BYE -> ERI,ZYU,NVW,HSX,JTY
OKD -> CJE,TZN,QPQ,QZP,MFK
AKM -> MHM,XPX,JYS,ECX,EKG
YEI -> FIQ,OTN,EEU,XSL,ETU
JNM -> USO,KOP,DFY,FQN,ANU
SKZ -> BJT,LR,BON,UTQ,JJM
IRR -> HVC,UVG,WFX,XBS,MXW
IB  -> EKF,IZT,ECQ,QEP,MXJ
JBS -> JVR,ILM,JC,WZO,TOO
CSL -> QLL,MGZ,DEW,IWJ,RPV
ZVY -> KJJ,YDT,BCP,XMD,GUM
GYD -> MKD,IMI,SDS,MLI,NDT
EWS -> EDZ,LIG,YCM,BIY,CZS
VSR -> QFK,HAD,IZK,JZS,RHA
RR  -> MTP,JVJ,GIL,EHO,XPD
LTC -> GRU,MCQ,TAZ,UXA,YAI
YCX -> PNQ,XHX,FWN,FKT,MGH
ZMG -> QKA,QND,BUU,NYW,VUB
TQU -> AGG,MJO,WBC,IIS,QIH
XHE -> NBB,RUT,APV,ZNE,CXD
UMM -> MIA,QTZ,KZK,DPT,QFE
OHL -> YBA,CNF,HVT,TZZ,URD
FKC -> BLH,EGU,GKA,WFJ,FKL
WE  -> JRT,OVP,EIW,OHG,FEL
NMV -> ZZP,ZVO,HMU,MFR,FCL
NDJ -> PYK,LOC,FXH,SUR,NJM
PXO -> SVX,VES,VYP,SYI,BZZ
NJE -> UVG,JJJ,GDU,STS,FYR
SOS -> EQX,DDR,ZBS,WKH,GXA
RED -> PAO,OKL,ITY,NLH,HHY
VOP -> NPW,TAS,YOG,PCW,AGT
JDB -> VOS,OXJ,TLP,TVJ,AUG
ECJ -> PRP,ZBC,NQL,CNF,LCQ
JNL -> BYH,MWY,YHO,PBO,MQJ
SIQ -> HTV,GON,FWZ,LZN,GC
SLX -> WYD,XH,RTL,EOB,KWY
QNB -> YCC,PVU,RTL,REB,XBG
RSA -> JWP,TSC,PFS,CT,XUZ
NNU -> VNB,EYG,JPJ,IRD,QLH
SIJ -> BTH,QUZ,UVL,SGN,RKM
JTO -> PAH,EDU,HXH,ZFB,BF
IGR -> IYV,QMJ,GCJ,TOK,LFO
CJR -> KDB,HKV,UFB,DDR,ILU
NTP -> JPM,YQZ,PIM,TOU,ND
KWM -> ZLJ,BPN,IBQ,MOE,TDR
RUH -> UIF,VBQ,NMA,XJU,KZE
RPD -> PGP,DCQ,EPT,AAK,JSF
AMZ -> VPF,ALL,ZAN,BEE,XKK
VGM -> TEY,BYX,NXR,AAB,RPQ
UIN -> JWR,IMA,GPD,HM,UWL
LRA -> OHO,MZE,BGB,MHK,TYD
HOK -> RJI,YDQ,ACT,YBH,NZE
ZAI -> EFX,JVO,EWA,QTA,SUT
AAQ -> BMN,HTC,BVJ,JQW,RIT
GLH -> MXH,GES,NWN,VWC,AXW
BTY -> LGA,IKD,ZRZ,YXY,XDF
NPV -> FBN,UER,GGI,RSZ,CCM
GEZ -> EOW,SWR,KWQ,MIL,HML
JWW -> PUS,MQS,DJJ,EBL,MCR
OMA -> AZF,MTJ,IZX,ZYK,BWK
TXV -> CYF,ALN,ZS,OBY,LNW
ECX -> XUG,QFY,EMJ,KLV,YPO
OKA -> EJX,HFZ,SBS,UKV,UNI
KVN -> ZLO,KZA,JNJ,KEI,IYM
WRK -> YRR,JX,DGA,GQO,JBD
EYF -> VJY,XIP,UEY,QQK,FJV
ZJM -> XAK,FWI,RGX,ZV,NSJ
VLS -> DCB,UOW,PYU,YHA,TMB
TMT -> HRG,KZK,BIZ,RPE,DGJ
BZU -> LLA,XVN,KUO,ABK,YNP
AYO -> JJP,VHW,HWI,FEO,FLH
OSQ -> DKN,LCV,BYY,JIO,QHN
PID -> XJS,SKL,OED,MKE,CHP
RLR -> OHL,PTJ,VBE,QHU,KPX
CPQ -> BIO,VYF,BLY,NSU,SHO
UF  -> QAI,MOI,PMP,MEI,KYZ
CSR -> YMP,OCP,KKC,LTO,VNQ
LZE -> EUA,XBL,OIB,GVB,WBT
FMB -> PRJ,TSE,OTH,NXM,TRE
RUM -> PDT,EOA,UZT,OWL,UWA
BMD -> AUC,TAM,AXA,ZD,PYV
UEX -> XEQ,ABG,DZ,DXZ,BF
NGK -> PSJ,UYL,MV,PWK,YDQ
UBT -> ZVM,RSQ,TBW,ZTG,VKS
IST -> ICS,PNQ,VKO,WWV,CXN
QIJ -> PKQ,HTI,GKJ,XQT,GPD
MSM -> IMP,HPC,FIF,LXD,LSI
AFR -> KM,YID,PTT,VIC,QHG
BEI -> HUH,HUE,QMW,SZL,QJE
CCP -> KGW,JDH,DGX,QBB,RPI
HWB -> UTT,JJ,KST,EYM,CKK
TUK -> MHF,OST,HSC,CU,LZL
AUZ -> QEC,KAM,VAH,LMF,IYT
GOF -> QTK,UZQ,HFX,RQG,GEV
ZAO -> AQA,RKY,CDA,UZQ,AZD
MFW -> XRI,CYE,RGG,PQK,ATJ
OZN -> TNC,KYK,XPR,BGT,GWN
GVZ -> OZV,DOP,YCO,MS,ARG
BLM -> HAS,NFC,SMF,FRA,EXX
WYE -> BOT,WLM,JSH,NVC,PYN
ZTM -> WRM,QLO,SJN,IMU,DMT
YBI -> VJT,YQJ,AYW,DPZ,IDT
SHR -> SAB,NBX,BYU,NAS,BGP
UAL -> YZE,FYU,QBR,WNY,LAF
PRY -> NIL,FO,JHK,ANC,UOX
TDO -> VRU,JYB,AIJ,WIH,OJC
OBD -> KON,OBN,BWH,VVK,NVM
UVO -> IGZ,ZAS,EFM,AQC,QOW
NAP -> ELZ,AGF,YMF,XRZ,NSF
DFO -> RQO,FVF,GAR,OZN,DIL
LTP -> RFM,EZY,PDL,FNF,HFP
OSF -> TSL,SQN,HUW,OHE,IMD
XII -> LCR,XK,QAZ,IIS,TON
UEO -> YTF,SWI,JFS,RDM,UCZ
REY -> OMO,AEH,KPH,TNG,ILG
CUA -> BLH,MZK,NKJ,EYD,ASH
VNJ -> DZV,HBA,WSX,UFG,STC
QRQ -> YQB,LGH,BCR,TUU,EDL
NEW -> SE,RAI,ZRH,TCH,VQS
ZZK -> OCU,HZL,WMT,WUW,BRJ
JYG -> RNI,ABA,YPC,AEC,DPH
LOK -> LFU,BDY,CTC,NJY,JBM
KVZ -> UVB,OPF,FUS,KES,VQL
LYS -> SNS,AVI,AJV,LGE,ITW
VDV -> BWL,VEU,ZKL,XDC,JUY
WMH -> KQY,TDF,GOX,CMM,DEV
LQY -> UEJ,BQG,DPT,UMO,BCC
UHH -> AZT,NQQ,LTC,BBG,OLI
QXY -> KMI,MHP,ZWN,BOI,XIP
VQD -> LUS,PQA,UCT,CYF,AFU
ZCA -> PGA,PTE,QPY,EUR,QNM
KET -> WWW,ETU,FCZ,GHM,KBN
FBH -> XIP,LZP,TKR,IHP,RRH
YTJ -> CPP,LLJ,BTN,IPX,GBU
SWU -> DYZ,KXP,EY,HRR,HBM
NAW -> GDF,NKO,WEE,UNX,BJS
IUC -> DIA,LJW,FXL,MKY,WES
WUA -> WMT,XV,IGE,SKD,HFT
PWA -> ZGY,KFD,NPR,CAJ,UKD
ICO -> DUC,WSC,AHN,IVJ,XYZ
BDZ -> BYS,MYK,EHR,IZZ,USH
BCA -> FPN,HBS,UOJ,FVG,BFB
ZWJ -> PKG,XGK,ZAB,ZTX,NDE
HTU -> CLF,JIT,BSQ,YDV,LKA
USC -> JYV,CZV,XRV,ZDW,RMG
AOY -> MDV,WZB,BNE,PMI,UDM
MAJ -> MCR,FFA,OBB,DDK,JWF
CZE -> BPV,HY,KVL,KLI,HQS
BIA -> LLD,EXB,YWB,TIG,ASH
EFO -> MAV,SOK,XIJ,FFC,ZDR
FTT -> GIT,LAY,LUL,KXJ,EAY
ZYW -> WOR,YNM,KJX,LC,YSP
WNR -> EN,JKJ,GSP,VNO,OWZ
ZIA -> ADC,HWQ,HTC,BUC,KAJ
EEY -> VNS,VVB,HAV,MWE,UAH
VEY -> MIU,IFJ,VGE,ICT,TIM
BJQ -> KPO,PHH,VDS,BHP,AYG
MOF -> INB,LSY,RHI,RMQ,LCF
HSP -> XEG,KY,FFI,LOY,WTN
LXQ -> YE,TWT,IB,PTA,OQR
LGP -> QNQ,KMR,VSX,ZIA,FBH
YSV -> FHQ,FMR,DWQ,AUG,LSN
BSO -> EEJ,SYS,RLF,PPO,FVZ
VR  -> YFU,XHW,FXJ,PGI,HV
ZKV -> ADU,JLA,BHN,PZ,VAW
SDY -> SSM,VOW,WDC,JUN,LRR
CHA -> FGU,DS,TLA,NJG,BFA
BSW -> MY,LBA,DRH,AFO,NEO
HCJ -> VQJ,BVW,EHE,XGX,TLP
QGT -> XTF,UQ,AJC,VIT,XEF
IGO -> GEW,RTS,RZK,WBF,NVT
IIO -> SKY,MWE,IRP,ZBD,DGX
PKP -> MNY,RIX,FPU,BOU,LIE
LDW -> MBX,LOG,IKN,KHT,KOT
LXL -> TLO,ETC,PXI,AKZ,JSU
OMF -> KFL,LCX,AVF,EOH,AEP
DSA -> BTJ,LSO,UNM,LJA,FCC
FIL -> TSS,DHZ,OTH,WGL,AJP
YVF -> KVP,FRD,WJZ,CFD,OZA
KZQ -> EKV,EPI,EBT,MWZ,QGO
WWG -> QDG,ELT,PHR,CCH,RGX
SK  -> FRV,ENY,LHM,EXQ,FXN
XOI -> WCT,WQG,UNS,DZX,CKP
HOR -> BMV,GUN,BTN,UPN,QSK
NGR -> QVW,JOJ,YPI,KPB,YFG
LIB -> JOR,QKG,YRQ,ELF,OTB
VAZ -> OUN,ISB,ACK,AFL,OIQ
MAM -> EFH,CQU,DUX,HHU,YFN
KES -> UYM,ETE,SPU,GZK,TO
OUG -> JPT,YCA,ESZ,PN,XFC
SXX -> YPK,SXD,EVH,YW,MXU
VFL -> KHZ,DMZ,FFN,UGK,CQI
AMS -> QRW,JBO,RUH,NSG,ZEG
EDD -> YLX,SLB,RNK,MZY,ZKE
GJO -> GBA,YZQ,XWZ,MXN,MBR
TBK -> SVZ,VW,NXB,UGX,SNW
GXT -> NYL,OGR,QOZ,UVI,JV
IXA -> LJR,UUW,PFS,SQU,JYT
NVB -> PKA,YNN,LSN,FKD,YBO
UFN -> ZPK,JWQ,RZ,OBS,CNA
SRS -> QQM,LKA,MYF,IQS,EXI
XCQ -> NNV,ASB,DRO,WGD,JEG
SYQ -> HWC,TBU,ZQW,TAU,JVE
CCV -> QON,OOH,DKP,VAW,ZS
RAQ -> OFX,ELF,YJA,IWR,SSS
UKI -> ICM,YDS,PRT,MLC,QLV
PUW -> VPP,ZW,ILG,VDP,HYF
EML -> ACM,KWT,QQG,BTY,VGV
ABU -> KHA,EBZ,SCF,ZQC,NNU
FUS -> GAG,WFE,PZY,DQX,KYL
RIF -> WGC,XQY,NEM,SKE,PND
CES -> FBY,TCP,ATG,TSR,ZMJ
SEU -> MKX,ZH,VMY,GVD,GBN
SEF -> VYX,VVH,EKF,BHZ,QMW
KAX -> LGJ,SWU,SJ,DTU,UTR
CCT -> PFN,CC,WYD,MDC,XYE
BVC -> BPU,VJG,KIC,IQO,LNC
RMD -> DIJ,ISN,QNQ,BJU,ATF
ZBD -> QKC,FZI,DIL,RZU,WAP
PRS -> HOS,ZJM,UXZ,VIB,XUC
GLJ -> VKY,QDM,MQO,VFG,KQU
HAP -> ILL,TCV,GXI,MBS,JKR
JYI -> WFA,QFX,IN,BYG,NSR
GEE -> WQS,YEI,SFT,CVA,JGR
SLS -> LZI,ZKH,YPB,MJI,OUT
EUT -> FSL,EAR,TBE,WQW,HHS
VDX -> HTX,BZ,BY,TLI,TUE
DLE -> TXV,JBV,WPF,VEH,AJJ
TKE -> EWN,EGB,UVK,RSU,HX
AEW -> MBP,UKO,IJK,OYH,PQB
KXQ -> WNT,SIX,PIY,ZQL,ZU
UBN -> IIQ,CEI,PRY,DHJ,ZXQ
PO  -> LT,GSP,KLE,MOB,OPJ
CHP -> SFQ,JOD,MVT,SXV,RFM
KTE -> SQF,BJV,WN,IIS,EOU
VYP -> FST,LGE,XZF,ODF,HRJ
VHF -> SOZ,AXI,RFP,QWM,AJJ
YVI -> XNN,VQZ,FJE,IVC,SVP
NXN -> NCQ,YMK,LZB,QZF,SCU
ZKR -> LJS,UJB,LOB,LDL,MTC
IKE -> FAZ,KLH,ZHZ,JAD,QQF
KWO -> LUL,JVC,PLW,LGU,MLN
JPD -> FEC,HBH,RHY,SCJ,XOJ
VCZ -> GRQ,ZQX,ETC,EVI,WAB
AJZ -> XQL,JYF,RAW,DTM,VGY
KQI -> EJB,SCL,XQQ,PDW,JBA
WVZ -> ZBJ,WS,EHF,XAT,ASB
RKI -> GQQ,AII,RSO,GZG,TZU
CVO -> KZE,AKK,YKE,PJH,WAM
PCN -> VJU,DDK,UOT,DUE,QUG
NAI -> EVD,ZYQ,ZRT,IFA,BQY
XUC -> VUP,BTR,UJN,KTM,GNL
XPF -> CQS,ANC,JVX,VPD,EZN
HEV -> ODB,USK,ZSB,ZEH,CHH
UQA -> HOF,BY,WYT,TBY,QQS
IWP -> HXS,XBO,QHM,GTS,ISU
ENR -> VFH,VWJ,LMR,WXK,CGV
FNQ -> QYC,BZU,IUA,MCX,SNB
RRC -> JAY,SZS,IYJ,OZL,IBE
CXH -> IOM,IEW,CTG,YHN,EFF
MAE -> WMS,ZKL,OKK,GQM,FGD
VVU -> KDZ,ZOR,XKE,IEK,MUT
GGS -> ISA,XTJ,WSY,XAD,CXD
ZNG -> XAW,WTY,CHE,EAP,LEV
ZF  -> IFM,DRF,INT,OPN,HXC
KPG -> ZKJ,HUA,KUS,HHQ,OWQ
YRN -> CAM,YCH,HJY,BCK,IDC
CKO -> CYV,ABG,JOO,ZOF,YDB
NYR -> AHN,UAG,GPF,JIO,KGV
CVL -> ELT,KGL,YGK,VJP,KBL
MCQ -> NML,IV,GIY,HVK,TPY
PDA -> AXX,AJP,KUF,VMO,BCA
BKL -> SKP,ZFR,GGJ,LBO,GHD
KGV -> ZWB,HBL,OYH,OVV,JIE
BTP -> PMI,HPE,FEM,ZEH,ZFF
IVJ -> QE,MGK,HVZ,WHQ,JTZ
LOS -> WBF,KT,BYP,DWD,MAH
IJM -> SIV,GOZ,LBD,TFW,EEX
ZXY -> CZN,ISX,ZZH,FU,TGX
TAK -> QZE,TLG,XCN,QXE,ZGZ
CRN -> JVV,OEL,ITZ,HPE,HRA
RET -> LFR,NRA,JSE,LJW,DCY
KMO -> LYD,GXN,HOY,XST,HC
AFL -> HHD,CVW,RFA,ISO,TJW
AQK -> GFK,VTT,AWY,IDU,YHA
ZUG -> UXK,NFW,KXN,PAI,DBB
HEN -> MN,NXM,OFB,UKN,DDZ
RYW -> TNS,RUP,SR,TLW,BNC
NDH -> EPJ,XY,JZS,EPH,AJI
DGJ -> UGM,PWZ,RXV,QWQ,VF
DQQ -> JL,AAW,YUQ,FXS,PES
HPU -> AOQ,NUM,YEP,VKL,GOK
ZEP -> MTB,VYF,ZNO,JJQ,CKZ
KWF -> LEZ,MWQ,FBG,WCR,DFO
TPN -> HLI,NWP,VBP,JDZ,QQJ
DPS -> IGV,VZY,DYF,DCL,WDW
IOC -> WHY,XKH,MMX,JM,SVQ
GEN -> KQD,NHY,AFN,UQU,LMK
PKM -> LBI,MKE,IFM,DRL,TWW
YCS -> LMZ,VQR,LRA,IQC,NFT
LDL -> DSG,GKW,HJI,LLF,EMH
MPY -> NTT,FKH,DFW,YHI,CM
CMP -> ZUQ,DFH,BEN,NTQ,WFW
NZH -> UKU,TEV,ITR,DYG,TBC
MVX -> FPY,RRB,YGT,COB,GDX
FIH -> AFF,LLV,PZU,RGB,OGV
UMR -> XCO,WNR,HMF,RGS,ZWW
GRB -> YHR,DNR,KER,NDO,QVT
GRJ -> PDU,BOJ,XHN,VEP,VNW
IBW -> IBS,KRT,XOZ,PYW,KZQ
AUG -> JIF,JZ,FRN,UER,TJF
IMZ -> CE,QLG,YTO,CWP,CGW
ZXA -> VRE,RTH,EHQ,SKE,NQC
FKM -> ADW,TAP,WPO,WCJ,VRR
PVP -> RL,QKW,WGA,CKZ,XPP
KRK -> UHZ,SMU,PER,WTK,KST
LQS -> OCQ,PPN,JTC,SPB,EPC
PHX -> IDW,XMW,DCM,CRU,FUP
JUR -> ZZM,TMN,HDN,PIX,VMI
NYD -> CEJ,VXG,ODW,EYJ,CYK
KGU -> KVL,XDT,XVB,QKP,WIZ
JHM -> MOB,BWZ,WBL,RF,UCB
INH -> OBP,IIK,LNY,TV,KNV
XXE -> OFO,NCU,DDK,KXF,VYI
AUE -> KYG,FTS,XRU,KLQ,GTU
JBE -> KDX,MGZ,PMB,ZPP,LTW
EXK -> VJP,JDO,ESW,TCW,ZAZ
NBB -> ECR,FJA,OSB,QQV,YVO
FVG -> VXX,EZN,DNG,HJH,SPL
BWM -> CRI,DQG,AAT,VRK,GOS
WOY -> LZF,APC,UDC,TOP,NEC
IIU -> XQH,GHZ,XBD,RHG,PGV
MML -> JFH,LDA,DPS,GGP,YAV
OHY -> ZYQ,LDT,OYW,SFF,UFK
XXD -> HBZ,MOX,GJV,WZP,TIP
HTV -> PWK,UHB,AAF,NAB,YOE
WMJ -> VOA,RHG,SGF,WEX,LCD
VBJ -> XGK,KMF,AGA,GNE,QLY
SSL -> DOP,UVX,STG,FBK,WG
GEM -> RKH,NZK,NBK,RKX,ZEZ
HVP -> LKJ,EPA,YOG,CMN,VJ
DNV -> ZOI,TMN,VIO,YCM,PTX
YMD -> ITP,OEC,HIH,EWL,WGM
BST -> YCN,LLR,ZYS,ZUL,PYY
GCK -> NEB,JFP,RBK,XAY,UCV
QUH -> CQN,YHJ,VOP,VHI,SML
CEH -> HNB,YWX,UXW,GDS,UM
YC  -> FD,MLM,WGJ,UIW,ULB
NOT -> TA,ONF,GUY,EIT,EWW
UPA -> GJE,MOJ,LXQ,WUN,FJC
WEN -> SNP,CEY,NIX,XHM,XBU
YYV -> QFU,LDK,IED,EPH,UUW
HGY -> OWH,ZSZ,LIM,NPC,IKZ
ZJN -> MJF,FDG,YHD,OEO,TQG
VIL -> HH,WOZ,OPF,HVB,TZQ
IYH -> AWG,LEW,MVT,OUI,HQH
KOL -> QTV,MT,AUD,DDE,NED
DXN -> PMM,OT,MXV,NHU,ARP
NU  -> DWF,UQH,LRE,PLC,QXG
DFS -> AWE,LIE,AJB,UZL,OTF
DWC -> KW,BGS,KNW,FCJ,FNO
MTH -> YVJ,CYH,IFK,RV,GBF
NWR -> OWD,VWZ,YDX,WEH,YOQ
RNK -> MFU,KMO,OIT,MCX,IKH
SEN -> QLM,KLC,UEH,ZSC,VPP
PQ  -> BSL,RKY,JZI,RFU,VKJ
VYZ -> RTL,VQM,VPB,LAD,GZL
SP  -> MT,QU,XXM,YBG,ADQ
SCF -> WPH,JGC,IUE,OMD,OZO
CKK -> PIZ,BIM,DTQ,RZU,SLH
ZOM -> KDK,ILU,FJB,GNM,UNX
WSE -> KES,DQF,KGC,HCI,YFS
BIR -> YGX,FTL,KCH,GQU,JBV
CDZ -> JOH,UAW,SFD,HAL,CNR
BUJ -> ORU,RJR,AHJ,VKS,ZFT
JQL -> TWX,WWV,ZQR,GD,WVA
BNT -> SLE,BNN,TGV,WIG,PFI
TOO -> UT,RQP,VOS,GYF,ZGC
EUZ -> INT,ITI,IXJ,SEL,AFR
QRN -> FUL,ZZJ,WF,HCM,ERC
BVH -> OKI,HQK,JIE,IBU,XZJ
MTO -> YRU,PIZ,YBX,YIN,WVU
FRY -> ZJM,BE,ZOR,HGO,IGY
IJL -> FFO,HXF,MYD,UCR,YWV
IVL -> NKG,XUN,ELE,SVK,WKW
RIB -> WPQ,SDF,GHG,JBK,ATW
XNC -> GHM,DXV,GFY,XDJ,FC
UMJ -> SFB,EEU,YVA,ZGS,XT
DM  -> MTE,GNX,XUI,NYK,XFJ
MOU -> ZKJ,DYW,BTV,OLI,PQG
SLP -> CSX,RXL,MKY,WOD,XND
COW -> FVU,RUA,PDX,DNZ,BUB
UCC -> VZT,VMM,TIT,KHR,DKT
SOH -> TSJ,SDT,ZUY,WU,QRR
WAG -> KAY,TTB,DUO,FBG,ECD
WJF -> SZR,BNB,CXR,SQM,TW
JTR -> KFQ,MAH,MQI,YKR,ETD
HHO -> JHD,HYL,PHP,LAF,KMN
LJB -> GDG,CYU,MKH,IEK,UQD
BEB -> WRX,KMB,ZKC,HWB,JAK
AZY -> AQZ,XVD,VYD,BBK,CFR
GWU -> YBP,KXX,CCR,YLZ,ZJW
WTW -> BGX,FEH,GPM,XCV,RZ
LIP -> BMO,ZKU,YWF,IDP,UOC
GGW -> JAT,ICA,UQI,WYC,FJ
AZN -> MMF,GXP,SWT,YKY,EOJ
UNY -> FAD,YCR,XVU,IFK,SRF
PCK -> JLC,RTS,ASI,PDW,XM
PCW -> DM,QJM,CVD,GXS,YLD
URR -> CZI,OLF,LQE,ZTJ,ASC
JAE -> KSW,JYD,TPB,CSS,MNO
VIS -> LOX,TXQ,RXI,GUX,WKI
FBJ -> OTK,SYA,AKX,ATP,YIX
PII -> VMX,ZIP,HGC,DIL,DVK
VBZ -> AXE,GPE,ASN,RXP,CSB
TET -> YTY,JVO,FUF,RRQ,XRJ
YTU -> YSQ,NRR,AXW,COK,DIG
TCJ -> STP,HTL,PDJ,CEL,VQJ
SUZ -> OCV,BVB,BWL,XMV,OJW
MUW -> LND,ZYO,PSK,PFN,KLU
SPR -> IKL,YKK,FRR,TMN,VEZ
FRR -> QQ,NL,KF,DJR,UHR
FBG -> SHT,ZOQ,OPK,WPC,YBV
EOU -> ODA,JWE,PKS,FHI,ZEG
QPW -> BMN,CBC,AVU,OHR,GGI
VRC -> CLN,JNT,KFD,GHL,BYM
ATE -> OTB,EAS,IMX,VNU,TGR
EWW -> KDE,LRZ,TLT,PGT,HLG
BMN -> PUZ,XHM,TR,XPA,FAL
EEQ -> COJ,BHN,Q,IMK,CBA
XZU -> CKD,CPR,LVG,IRK,BOR
IPY -> WCE,TVE,QEO,XDE,OWD
PB  -> WHI,SBF,VKJ,RDU,GRJ
WDP -> MMJ,PNJ,NRM,TQL,MXT
JSZ -> OHX,KV,GEN,CTN,COM
FLG -> DAO,TGC,SVJ,VZD,VRL
FEI -> VCU,DCL,JSC,NHI,ZUC
WBZ -> IQZ,STD,VXR,RYN,AUA
BKR -> JPT,IKD,YBL,JRT,WMS
CTG -> JLN,JRH,AER,AR,ZNM
PGN -> PSM,VOA,ZZA,LIS,ZGI
ORD -> RME,YZC,SYN,EDO,III
ROR -> WZZ,AVR,ALZ,KPT,YOV
MBM -> VUG,CWP,DWE,CNJ,SNC
WBY -> LJD,GRS,ADR,TRC,DCU
XFD -> NTD,VAC,BUA,VJS,ETT
SWQ -> JQZ,NTJ,IPW,RVS,BKW
NZD -> SYC,WWE,OBC,DRG,NLV
EFD -> DYU,HSA,ZWY,IKF,TOB
ZOL -> GW,ZKH,TEN,UNP,BBG
KZR -> IUO,UEG,CPM,GDF,UNH
OEX -> EKI,KAD,ICY,OOK,GAT
HNO -> PEK,DNQ,QQU,ECQ,OWJ
XVN -> IEZ,IOH,TMU,KAV,MGN
YZE -> LFC,COV,UMO,NLQ,JHH
SPE -> XJI,FJO,FTR,MVQ,ZJB
ZU  -> BMS,EAB,YIX,XCP,SYE
VXS -> QGI,YYM,AUQ,JSJ,FSD
VRY -> GFV,SNB,LP,VNX,KLI
WAX -> GSA,MKY,VUP,ORS,XIA
QTM -> USL,JTZ,THO,EBN,USE
NYN -> XLU,LZZ,ZWZ,UVZ,FBA
SEG -> CLF,IKM,EBL,IAD,HPC
HER -> GYX,LVI,ZHX,RIV,KCY
BHI -> EXX,KJM,QEA,SPW,OCF
FYZ -> UWQ,ORO,PR,RLO,UNF
CNP -> NN,MD,WDO,HXC,DPA
LDT -> ATA,XNP,NQQ,AGS,KVC
LJW -> VWH,QPY,ZJJ,FUG,LCQ
RNG -> MGY,GDG,IRT,YYP,YBH
XMC -> ZPA,FRL,TS,FJZ,YPX
UOS -> RYO,AIW,NQX,JYC,WDR
AJB -> UDX,NCD,DAS,AAJ,JCC
ALB -> BPF,KYA,KKK,WHM,MOX
MHP -> VVY,FPQ,QOM,XFM,YEQ
YDL -> VRK,ZPJ,WZD,TGQ,HLU
XAL -> GUU,EYY,XUY,MBK,YXY
LY  -> NNM,RNB,WRY,DSV,ZPS
WQU -> NPU,MFZ,NRV,KSD,IYT
LTG -> DUB,UDM,CDP,ATU,WSM
PJL -> BIT,VR,EAB,SMA,CPS
SQD -> KLX,POF,PMI,JUK,ZEV
BFM -> EEZ,XWP,UFG,XVY,MPK
JEW -> VES,OOU,TJO,DYP,QFU
JQN -> JLO,APN,HRE,EDC,WGA
LWM -> SJU,FSQ,FKF,WQD,KDL
IPZ -> MKQ,SVZ,AFN,HUR,MCW
ZIC -> AUJ,ZHF,HOR,PX,DHY
HNP -> OCO,RC,HRQ,GYR,MLS
YTA -> GV,FPN,MZB,TTB,GM
QAP -> BKH,ZFO,WYG,NRJ,MSC
YKX -> RKX,KWH,CTE,UTY,PIH
FWV -> IFQ,FFJ,HXI,IFT,UWT
IHP -> WMQ,OJO,ZJK,JN,ONK
UNP -> ZPM,HNG,MXG,VTS,MAA
NHM -> QCD,JWA,YJE,BLJ,NAW
DLM -> QXZ,ZPI,ZJS,DVW,ZTJ
CDW -> ZZC,HFF,FXR,YBX,MV
YGY -> ELD,MKD,VY,NSP,AWM
DI  -> ZZF,PDQ,DPA,IUR,FR
UVV -> BIY,PBL,ZFO,UUK,LUV
XZK -> EAB,EFI,TNB,HFN,EHI
BHJ -> TMQ,ZKR,GVS,VWA,WQH
WQO -> NYU,LBG,NFY,QXM,PQN
ZCI -> CMK,UFT,YMA,ADA,HPT
XYB -> MYX,BWZ,OQU,SCT,OKM
ZKK -> DZZ,SOR,LKP,TYL,SXZ
TGS -> RRM,ZXT,ABM,PFK,HJX
FNP -> HTB,CIV,WDJ,YNK,XZS
DOB -> RZO,SDD,KOJ,ADF,CYG
